!x y z r th V Ex Ey Ez Er Et
702.0 81.5 -3.9 706.71511233311 6.62221416622196 -4149.69909027947 -5871.38027121489 -763.315133362845 810.203146577335 -5920.23442083949 -81.1214172673316
702.0 81.5 -3.7 706.71511233311 6.62221416622196 -4326.94354364725 -5879.56691351971 -734.226388816127 2757.9949678664 -5925.01186249668 -51.2826468043353
702.0 81.5 -3.5 706.71511233311 6.62221416622196 -5033.86352406033 -5891.03389059239 -711.098805457203 3885.65438668994 -5933.73520766602 -26.9869697348243
702.0 81.5 -3.3 706.71511233311 6.62221416622196 -5839.77797683265 -5515.17098370005 -629.875293364639 4641.18200528858 -5551.01312891913 10.3492611123473
702.0 81.5 -3.1 706.71511233311 6.62221416622196 -6894.39033000881 -5880.15819386207 -676.060322349359 5239.42013327564 -5918.89135432978 6.56353094699607
702.0 81.5 -2.9 706.71511233311 6.62221416622196 -7986.87632991062 -6326.99143478846 -739.38768102678 5757.03428578647 -6370.04643690604 -4.81148639133343
702.0 81.5 -2.7 706.71511233311 6.62221416622196 -9048.07877569136 -6624.88756892586 -790.938663036882 5882.62134450178 -6671.90002327414 -21.6644646721757
702.0 81.5 -2.5 706.71511233311 6.62221416622196 -10236.0339532774 -7501.6422635365 -903.506057348713 5545.35940087545 -7555.78665220284 -32.3714710232326
702.0 81.5 -2.3 706.71511233311 6.62221416622196 -11322.721798543 -8179.33215113539 -992.176144074665 4696.13374679437 -8239.18071684673 -42.2972175084758
702.0 81.5 -2.1 706.71511233311 6.62221416622196 -12212.069946759 -8473.60063289446 -1027.62836187737 3913.77947757785 -8535.57430782891 -43.5771896193763
702.0 81.5 -1.9 706.71511233311 6.62221416622196 -12880.7047705656 -8187.43622724056 -971.986025940843 2813.85825434227 -8244.90235308651 -21.3072246900925
702.0 81.5 -1.7 706.71511233311 6.62221416622196 -13390.2344744746 -7994.84840399339 -954.025424937685 2100.38157688431 -8051.52819351872 -25.676121911259
702.0 81.5 -1.5 706.71511233311 6.62221416622196 -13671.2986249777 -7606.74609870296 -908.746193146057 1726.94440430734 -7660.79355252134 -25.455831112553
702.0 81.5 -1.3 706.71511233311 6.62221416622196 -13963.857297957 -7193.8926961245 -853.103875632908 1353.0444429779 -7244.27785567198 -17.7959488069168
702.0 81.5 -1.1 706.71511233311 6.62221416622196 -14268.0660887657 -6949.91020499765 -818.666698963143 1010.07300582724 -6997.95181052073 -11.7251503756046
702.0 81.5 -0.9 706.71511233311 6.62221416622196 -14398.2440129552 -6749.24133823853 -795.336406850506 793.928676433258 -6795.93127808758 -11.6921067604402
702.0 81.5 -0.7 706.71511233311 6.62221416622196 -14529.9092189512 -6547.96382968362 -772.046329656816 576.372992475823 -6593.31080231469 -11.7691997167158
